case,element,region_group,time_s,anzahl_punkte,t_mean,t_flaechen_summe,kontaktflaeche_summe,q_summe,q_dot_avg_mean,t_flaechengewichtet
Case1,Element1,support,625.0,3610,0.012840731860313268,1.654725123288823e-05,0.001292434226442837,-0.004243455969477095,-3.577359747962031,0.012803166996305244
Case1,Element1,support,810.0,3610,0.01821531025668933,2.3480351087894954e-05,0.001292434226442837,-0.005510105254922107,-4.637756045839021,0.018167540450023407
Case1,Element1,support,1048.0,3610,0.025499428610364597,3.2877671237987404e-05,0.001292434226442837,-0.007150008213641571,-6.009833537408889,0.025438564350370483
Case1,Element1,support,1358.0,3610,0.03536929381877002,4.561184967468915e-05,0.001292434226442837,-0.009290350573578661,-7.8001113859679565,0.03529142817598271
Case1,Element1,support,1758.0,3610,0.048610370441255726,6.269710073681761e-05,0.001292434226442837,-0.012026641440474627,-10.088442598781235,0.0485108638057185
Case1,Element1,support,2276.0,3610,0.06632734426350698,8.55599473816404e-05,0.001292434226442837,-0.015479126096872532,-12.975420285047525,0.06620062021811879
Case1,Element1,support,2948.0,3610,0.08988769415994922,0.00011596669362573696,0.001292434226442837,-0.01975289692199348,-16.549016105192493,0.0897273464700109
Case1,Element1,support,3817.0,3610,0.12065131230219762,0.00015567391138687753,0.001292434226442837,-0.024940991732590314,-20.887242692668135,0.12045016156476944
Case1,Element1,support,4943.0,3610,0.16005624636809365,0.00020653919905349718,0.001292434226442837,-0.031130711172110026,-26.063423584291307,0.15980635209727803
Case1,Element1,support,6401.0,3610,0.2090301920353791,0.0002697613563669374,0.001292434226442837,-0.03832971902151747,-32.084316983765184,0.20872346990484833
Case1,Element1,support,8289.0,3610,0.26768107710504824,0.00034548168044651757,0.001292434226442837,-0.046354188661789246,-38.79642611764561,0.2673108413395905
Case1,Element1,support,10734.0,3610,0.33506850879936806,0.0004324894898091348,0.001292434226442837,-0.054743409650653184,-45.81441620614491,0.3346317212594055
Case1,Element1,support,13900.0,3610,0.4093201026072914,0.0005283716704716728,0.001292434226442837,-0.06283770541896362,-52.58624726699968,0.4088190018968382
Case1,Element1,support,18000.0,3610,0.48831844886098635,0.0006303970177703195,0.001292434226442837,-0.07011782530642707,-58.67720227412667,0.4877594579844573
Case1,Element1,top_surface,10.0,29994,0.0003497861775754755,1.749250817325025e-05,0.049172337894698534,0.0017675368250708347,0.03628873400491958,0.00035573879384604546
Case1,Element1,top_surface,13.0,29994,0.00042872766883960225,2.1429881351650533e-05,0.049172337894698534,0.0021764899087306677,0.04466436676346015,0.000435811724013248
Case1,Element1,top_surface,17.0,29994,0.0005318884678138207,2.6571145980495484e-05,0.049172337894698534,0.0026371758926168895,0.05414233243054532,0.0005403677579332714
Case1,Element1,top_surface,22.0,29994,0.0006601549016081741,3.2958703770970075e-05,0.049172337894698534,0.0031147635308044082,0.06402963627865953,0.000670269203826558
Case1,Element1,top_surface,28.0,29994,0.0008142240781504221,4.0627101308342475e-05,0.049172337894698534,0.0036155269482725295,0.07445099248094247,0.0008262186230669875
Case1,Element1,top_surface,36.0,29994,0.0010202726701622426,5.087691889678571e-05,0.049172337894698534,0.004201221720287004,0.08670725325757724,0.0010346654455547241
Case1,Element1,top_surface,47.0,29994,0.0013049674271855376,6.502987231055704e-05,0.049172337894698534,0.004909311036030413,0.10160755265334838,0.001322488925578789
Case1,Element1,top_surface,61.0,29994,0.0016696840842850638,8.314763256201497e-05,0.049172337894698534,0.005708956491700943,0.1185178970549076,0.00169094324414824
Case1,Element1,top_surface,79.0,29994,0.0021426424722504017,0.00010662174179576545,0.049172337894698534,0.006625388219864053,0.13797781098866263,0.0021683276891184943
Case1,Element1,top_surface,102.0,29994,0.0027534950442179573,0.00013690788638106823,0.049172337894698534,0.0076710687994338556,0.1602506003097112,0.002784246026175396
Case1,Element1,top_surface,133.0,29994,0.0035881076448654988,0.00017823479073081998,0.049172337894698534,0.008922181787417827,0.18695144682974002,0.0036246962898633336
Case1,Element1,top_surface,172.0,29994,0.004654775687301307,0.00023097916610304996,0.049172337894698534,0.010318724360951012,0.216777072692455,0.00469733952039634
Case1,Element1,top_surface,222.0,29994,0.006047554302503324,0.0002997527340334686,0.049172337894698534,0.011903162623483367,0.25060088343483744,0.006095962625884951
Case1,Element1,top_surface,288.0,29994,0.007926197727102525,0.0003923959168264681,0.049172337894698534,0.013747592895271533,0.28992044404848977,0.00798001343085975
Case1,Element1,top_surface,373.0,29994,0.010406018684738488,0.0005145535576720701,0.049172337894698534,0.015849584862544844,0.3346467536081992,0.010464289063781655
Case1,Element1,top_surface,483.0,29994,0.013705650545601224,0.0006769668313355055,0.049172337894698534,0.01827527274332666,0.3861706589193763,0.01376722889981792
Case1,Element1,top_surface,625.0,29994,0.01809777929069301,0.0008930433841568516,0.049172337894698534,0.021098184375708314,0.44607300714080084,0.01816149937937228
Case1,Element1,top_surface,810.0,29994,0.02397163257716885,0.0011819383037201018,0.049172337894698534,0.024500234693487936,0.5182579232896547,0.024036650570717143
Case1,Element1,top_surface,1048.0,29994,0.03181369040640015,0.0015675647575063368,0.049172337894698534,0.02846315921259347,0.6024358958346905,0.03187899588714374
Case1,Element1,top_surface,1358.0,29994,0.042361226482148476,0.0020861962504021016,0.049172337894698534,0.03317873255650977,0.7027690182352682,0.04242621644042316
Case1,Element1,top_surface,1758.0,29994,0.056431756322549806,0.0027780427266288423,0.049172337894698534,0.03858466214478958,0.8180273352162785,0.05649604728125718
Case1,Element1,top_surface,2276.0,29994,0.07517142934111119,0.0036994823388572084,0.049172337894698534,0.04461034464918871,0.9467279664492002,0.07523503045105497
Case1,Element1,top_surface,2948.0,29994,0.09998457059040616,0.0049196029243439065,0.049172337894698534,0.050953781267087314,1.082397544326406,0.10004818023660227
Case1,Element1,top_surface,3817.0,29994,0.1322693110318633,0.006507201159875856,0.049172337894698534,0.057212479551699516,1.2163540690377022,0.13233458969982032
Case1,Element1,top_surface,4943.0,29994,0.17350289013517559,0.008534977132389142,0.049172337894698534,0.06281837032952872,1.3363632668217458,0.17357273413899102
Case1,Element1,top_surface,6401.0,29994,0.22462763709078357,0.011049318045630805,0.049172337894698534,0.06723653743554679,1.4309103091734015,0.2247059732911759
Case1,Element1,top_surface,8289.0,29994,0.28570349006404483,0.014053186032483256,0.049172337894698534,0.0701044635952964,1.4922022641720472,0.28579454697838125
Case1,Element1,top_surface,10734.0,29994,0.35565025118298216,0.01749341996209525,0.049172337894698534,0.07141382749748106,1.5200630237771022,0.35575733656506264
Case1,Element1,top_surface,13900.0,29994,0.43238770650903613,0.021267632610037963,0.049172337894698534,0.07152296231157126,1.5221913542762633,0.43251213020585116
Case1,Element1,top_surface,18000.0,29994,0.5136299074508621,0.025263316974456957,0.049172337894698534,0.07099991013786633,1.5107824152308102,0.5137709138125136
Case1,Element2,bottom_surface,10.0,35483,0.028050090961128,0.0016777609779468428,0.05943440587583529,-0.0032038181239607273,-0.053626007973677114,0.028228783534100795
Case1,Element2,bottom_surface,13.0,35483,0.03238127364756459,0.0019366009790115297,0.05943440587583529,-0.003415101863702581,-0.05723067512195227,0.03258383676043288
Case1,Element2,bottom_surface,17.0,35483,0.03728346203516712,0.002229422232426292,0.05943440587583529,-0.0036998615004478373,-0.06211733833575475,0.0375106337747161
Case1,Element2,bottom_surface,22.0,35483,0.042444318136116495,0.002537498937995687,0.05943440587583529,-0.00404699680902795,-0.06811484594936541,0.04269410790942857
Case1,Element2,bottom_surface,28.0,35483,0.04789868235170947,0.002862921232691585,0.05943440587583529,-0.0044475320748208124,-0.07507005759352313,0.048169426286056055
Case1,Element2,bottom_surface,36.0,35483,0.05428993478192684,0.003244012528037153,0.05943440587583529,-0.004952801683786825,-0.083888126528628,0.05458139069841526
Case1,Element2,bottom_surface,47.0,35483,0.06198585350751529,0.0037025944876524076,0.05943440587583529,-0.0055998718556458495,-0.0952360683014892,0.06229715655587634
Case1,Element2,bottom_surface,61.0,35483,0.07062026663511585,0.004216758393467469,0.05943440587583529,-0.006360497416354845,-0.10863171297958489,0.07094810373433731
Case1,Element2,bottom_surface,79.0,35483,0.08046599825127504,0.00480267129187585,0.05943440587583529,-0.007256772993530362,-0.12447095723764262,0.08080624717455971
Case1,Element2,bottom_surface,102.0,35483,0.09170178214694363,0.005470892606607181,0.05943440587583529,-0.008298963267316928,-0.14293672079430325,0.09204925204495944
Case1,Element2,bottom_surface,133.0,35483,0.10525985438873452,0.006276768827533177,0.05943440587583529,-0.009562047020914849,-0.16535493682975277,0.10560833804995048
Case1,Element2,bottom_surface,172.0,35483,0.120662637505398,0.007191887660938149,0.05943440587583529,-0.010983165205470978,-0.19059644381465793,0.12100546064114373
Case1,Element2,bottom_surface,222.0,35483,0.1385994029493828,0.00825724872460908,0.05943440587583529,-0.012602923036562628,-0.21936045209853033,0.13893044950864553
Case1,Element2,bottom_surface,288.0,35483,0.16016931938763296,0.009538250954226477,0.05943440587583529,-0.014493029885623817,-0.2528912331411158,0.1604836594842537
Case1,Element2,bottom_surface,373.0,35483,0.18558624109483188,0.011047790346219347,0.05943440587583529,-0.01664950029829937,-0.29108891036750356,0.18588206920582903
Case1,Element2,bottom_surface,483.0,35483,0.2157650817880316,0.01284044785254918,0.05943440587583529,-0.019139846214656794,-0.3351309143121745,0.21604401799479955
Case1,Element2,bottom_surface,625.0,35483,0.25155218113185734,0.014966739926899966,0.05943440587583529,-0.022040913252629225,-0.3863790243891291,0.2518194588866095
Case1,Element2,bottom_surface,810.0,35483,0.295033498396046,0.01755071979197169,0.05943440587583529,-0.02554145826993339,-0.44819046215278907,0.295295621001697
Case1,Element2,bottom_surface,1048.0,35483,0.3457290352645092,0.020564200803776238,0.05943440587583529,-0.02962868206648682,-0.5203859880693111,0.3459982564095452
Case1,Element2,bottom_surface,1358.0,35483,0.4059168029695766,0.024142594620146708,0.05943440587583529,-0.03450368251444406,-0.6065728997749064,0.40620570298259767
Case1,Element2,bottom_surface,1758.0,35483,0.4751394304716738,0.028258789392092698,0.05943440587583529,-0.040106569276430505,-0.7057489245817377,0.4754617965077042
Case1,Element2,bottom_surface,2276.0,35483,0.5537128594939269,0.03293149056024585,0.05943440587583529,-0.04636493773941597,-0.8166511497312448,0.5540812610972033
Case1,Element2,bottom_surface,2948.0,35483,0.6402180121923831,0.03807615595242433,0.05943440587583529,-0.05296412516651657,-0.9336982949487785,0.6406416517727024
Case1,Element2,bottom_surface,3817.0,35483,0.7326485367177826,0.04357321596468428,0.05943440587583529,-0.05948218747251182,-1.0493756435534294,0.7331311775154833
Case1,Element2,bottom_surface,4943.0,35483,0.8275301459362704,0.04921578013116408,0.05943440587583529,-0.06532480880546301,-1.153107601808561,0.828068850119929
Case1,Element2,bottom_surface,6401.0,35483,0.9211007696147454,0.05477989279687865,0.05943440587583529,-0.06993271505184985,-1.234944201738838,0.9216865549446157
Case1,Element2,bottom_surface,8289.0,35483,1.0101602398742233,0.060075118322306546,0.05943440587583529,-0.07292720087223467,-1.28815049856995,1.0107801607003488
Case1,Element2,bottom_surface,10734.0,35483,1.0935471764211224,0.06503239176629308,0.05943440587583529,-0.07429890145486703,-1.3125532322451894,1.0941876310188507
Case1,Element2,bottom_surface,13900.0,35483,1.1724588411081047,0.06972302231982268,0.05943440587583529,-0.07442032178678784,-1.3147593748825686,1.1731087623805205
Case1,Element2,bottom_surface,18000.0,35483,1.249852036693319,0.07432301603445537,0.05943440587583529,-0.07388251087657995,-1.3052570618259236,1.250504904343184
Case1,Element2,lateral,10.0,44472,0.0002785270051866358,1.9739573569050838e-05,0.07112361300711446,-0.00010320583797084138,-0.001470229964655142,0.0002775389597696098
Case1,Element2,lateral,13.0,44472,0.0004378080026376203,3.112225073141622e-05,0.07112361300711446,-0.00016835910286905827,-0.002443493574983747,0.00043757972093323033
Case1,Element2,lateral,17.0,44472,0.0007018829526535672,5.0042858324951505e-05,0.07112361300711446,-0.00027669108158186385,-0.004083832310227042,0.0007036039960448261
Case1,Element2,lateral,22.0,44472,0.0011010533895664052,7.867308244972677e-05,0.07112361300711446,-0.0004390592280189516,-0.006594101184699366,0.0011061457527735147
Case1,Element2,lateral,28.0,44472,0.0016362419977318586,0.00011704556609886536,0.07112361300711446,-0.0006545338659546413,-0.00999164099719244,0.0016456639525210474
Case1,Element2,lateral,36.0,44472,0.0024169279288358326,0.0001729517638514171,0.07112361300711446,-0.0009648239546210214,-0.01499601573515047,0.002431706665887696
Case1,Element2,lateral,47.0,44472,0.0035720145356041,0.0002555063093028873,0.07112361300711446,-0.0014167705594487954,-0.02246386553639257,0.0035924258976738023
Case1,Element2,lateral,61.0,44472,0.0051285001050790195,0.0003664952845692467,0.07112361300711446,-0.00201554943395937,-0.03257785823602722,0.0051529340126827685
Case1,Element2,lateral,79.0,44472,0.0072267631357124705,0.0005157817762986846,0.07112361300711446,-0.002808855644245211,-0.04622406190914453,0.007251906286694001
Case1,Element2,lateral,102.0,44472,0.010020996468879998,0.000714226330971373,0.07112361300711446,-0.0038484066348939286,-0.0643434840905861,0.010042042308788914
Case1,Element2,lateral,133.0,44472,0.013936177082326088,0.0009919877272531366,0.07112361300711446,-0.005285686039893325,-0.08959526584473122,0.013947375355550462
Case1,Element2,lateral,172.0,44472,0.01903276846631144,0.0013535549152394661,0.07112361300711446,-0.007141816087463585,-0.12229445819617883,0.01903102019162146
Case1,Element2,lateral,222.0,44472,0.025763909974121955,0.0018315446315780536,0.07112361300711446,-0.00958770887811849,-0.16533787217126966,0.025751569051966537
Case1,Element2,lateral,288.0,44472,0.03487587897678947,0.0024797615795298504,0.07112361300711446,-0.01290773637647702,-0.22357402906277843,0.034865517578273206
Case1,Element2,lateral,373.0,44472,0.046844595807594626,0.0033330710548680753,0.07112361300711446,-0.017292629620188432,-0.3001931498254969,0.046863072810076026
Case1,Element2,lateral,483.0,44472,0.06255179291496869,0.004455334013351426,0.07112361300711446,-0.023078665836729295,-0.400949964987782,0.06264212158212155
Case1,Element2,lateral,625.0,44472,0.08297236113979055,0.005916965516629517,0.07112361300711446,-0.030622530086007457,-0.5319790766431118,0.08319270164238768
Case1,Element2,lateral,810.0,44472,0.10958351457549809,0.00782381926566843,0.07112361300711446,-0.040450630024670864,-0.7024175783925852,0.11000311900473639
Case1,Element2,lateral,1048.0,44472,0.14336053872968,0.010246378702255296,0.07112361300711446,-0.0528466583899873,-0.9170870633910893,0.14406437284380302
Case1,Element2,lateral,1358.0,44472,0.18613646454163998,0.013315510355005639,0.07112361300711446,-0.06836620781865257,-1.1856253654485482,0.18721645023395667
Case1,Element2,lateral,1758.0,44472,0.23838098297620292,0.017064354580188422,0.07112361300711446,-0.08694120366984741,-1.5068107096580652,0.23992530551676955
Case1,Element2,lateral,2276.0,44472,0.3005547436218356,0.02152510727986943,0.07112361300711446,-0.10840940053413334,-1.8778150142995398,0.30264361398114414
Case1,Element2,lateral,2948.0,44472,0.37160702526595785,0.02662129957784216,0.07112361300711446,-0.13190878188252406,-2.283718205903108,0.3742962210761037
Case1,Element2,lateral,3817.0,44472,0.4495512538918833,0.03220931445914702,0.07112361300711446,-0.15623796273184795,-2.703786552763794,0.4528638675305364
